Website,Title,Image,Price,Link,Description,Table
Avand,گوشی موبایل سامسونگ مدل Galaxy A10S ظرفیت 32 گیگابایتSamsung Galaxy A10s 32GB,https://avandmobile.com/wp-content/uploads/2020/11/Avandmobile-Logo.png,,https://avandmobile.com/my-account/lost-password/,"('h2_1', 'همه چیز درباره Samsung Galaxy A10s')","('ابعاد', '156.9×75.8×7.8 میلی متر')"
Avand,,https://avandmobile.com/wp-content/plugins/oreka-search/search/../theme/logo_forms.png,,https://avandmobile.com/,"('h2_2', 'داخل جعبه؛ مفید و مختصر')","('وزن', '168 گرم')"
Avand,,https://avandmobile.com/wp-content/uploads/2020/11/Sumsung-Galaxy-A10s-1-600x600.jpg,,https://www.dolphinai.ir/,"('h2_3', 'طراحی و ساخت؛ ساده و کاربردی')","('سیم کارت', 'دو سیم کارت سایز نانو')"
Avand,,https://avandmobile.com/wp-content/uploads/2020/11/Sumsung-Galaxy-A10s-2black-600x600.jpg,,https://avandmobile.com/my-account/,"('h2_4', 'صفحه\u200cنمایش؛ تصویری در حد انتظار')","('ساختار بدنه', 'پلاستیک و شیشه')"
Avand,,https://avandmobile.com/wp-content/uploads/2020/11/Sumsung-Galaxy-A10s-7-600x600.jpg,,https://avandmobile.com/my-account/wishlists/,"('h2_5', 'اسپیکر؛ صداهایی بدون نویز')","('پردازنده', '(Mediatek MT6762 Helio P22 (12 nmOcta-core 2.0 GHz Cortex-A53')"
Avand,,https://avandmobile.com/wp-content/uploads/2020/11/Sumsung-Galaxy-A10s-6-600x600.jpg,,https://www.instagram.com/avandmobileofficial/,"('h2_6', 'دوربین؛ متمرکز روی سوژه اصلی')","('پردازنده گرافیکی', 'PowerVR GE8320')"
Avand,,https://avandmobile.com/wp-content/uploads/2020/11/Sumsung-Galaxy-A10s-5-600x600.jpg,,https://avandmobile.com/cart/,"('h2_7', 'سخت\u200cافزار؛ در حد انتظار')","('حافظه داخلي', '32 گيگابايت')"
Avand,,https://avandmobile.com/wp-content/uploads/2020/11/Sumsung-Galaxy-A10s-4blue-600x600.jpg,,https://avandmobile.com/,"('h2_8', 'رابط کاربری؛ فقط با دخالت یک دست')","('مقدار رم', '2 گيگابايت')"
Avand,,https://avandmobile.com/wp-content/uploads/2020/11/Sumsung-Galaxy-A10s-3red-600x600.jpg,,https://avandmobile.com/shop/,"('h2_9', 'باتری؛ یک همراه 24\u200cساعته')","('درگاه حافظه', 'قابلیت پشتیبانی از کارت حافظه Micro SD تا 512 گیگابایت(درگاه اختصاصی)')"
Avand,,https://avandmobile.com/wp-content/uploads/2020/11/Sumsung-Galaxy-A10s-1-185x185.jpg,,https://avandmobile.com/product-category/mobile-phone/,"('img_1', 'https://avandmobile.com/wp-content/uploads/2020/11/Samsung-Galaxy-A10s-design.jpg')","('اندازه صفحه نمایش', '6.2 اینچ')"
